subdivision,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jjas
Orissa,1940,0,35.3,70.1,29.1,133.1,286.2,532.6,395.9,133.3,58.3,3.3,10.5,1687.7,1348
Orissa,1941,28.3,1.4,8.2,14.5,62.3,288.2,356.5,272.4,186,155.9,61.5,0.1,1435.2,1103
Orissa,1942,4.7,18.6,2.5,37.6,29.6,156.8,423.8,379.8,256.4,62.7,75.4,0.1,1448.3,1216.9
Orissa,1943,63.9,4.1,11.9,68.9,54.6,200.3,413.3,382.9,294.7,71.8,20.1,0,1586.5,1291.2
Orissa,1944,35.1,72.9,75.3,46.7,32.9,121.9,491.4,415.9,151.5,155.9,8.7,0,1608.1,1180.6
Orissa,1945,20.3,4.7,0.1,50.6,58,152.6,387.1,270.3,405.9,176.1,2.5,10.4,1538.6,1215.9
Orissa,1946,0,2.6,5.2,104.2,83.7,249.7,345.5,399.2,248,143.2,33.3,0.3,1614.9,1242.3
Orissa,1947,21.8,19.3,14.7,17.3,38.5,210.9,341.5,374.9,173.3,127.1,10.3,61.3,1410.9,1100.7
Orissa,1948,14,36.1,13.5,28.5,60.7,164.8,289.4,312.4,257.6,82.5,74.2,0.2,1333.8,1024.1
Orissa,1949,0.9,3.1,8.7,35.1,78.1,140.7,248.9,307.1,303.1,222.1,1.1,0,1348.9,999.8
Orissa,1950,0,21.2,69.7,7.7,49.4,199.4,326.9,327.4,197.9,55.1,138.1,0,1392.8,1051.6
Orissa,1951,2.2,0,89.7,37.1,48,172.5,339.1,349.5,165.5,155.6,37.1,0,1396.2,1026.6
Orissa,1952,0.3,9.5,26.2,53.2,44.4,187.1,356.4,352,307.9,176.6,2.2,1.1,1516.7,1203.4
Orissa,1953,39.9,5.9,0.2,13.8,23.7,182.8,318.9,512.1,231.5,59.2,49.8,0,1437.7,1245.3
Orissa,1954,0.6,6.2,8.6,19.2,50.2,163.2,211.7,271.9,344,118.2,0,14.2,1208,990.8
Orissa,1955,0.1,0.2,8.4,29.6,76.5,201.7,238,355.9,371.4,262.7,52.3,0.3,1597,1167
Orissa,1956,1.4,37.9,18.2,11.9,118.1,345.2,470,434.5,249.8,191.7,6.7,0,1885.4,1499.5
Orissa,1957,12.3,26.6,30.4,12.4,33.6,153.5,349.2,415.4,194.5,49.5,0.1,0,1277.5,1112.7
Orissa,1958,11.5,42.8,16,32.8,39,125.2,404.1,319.1,364.2,217.4,51.8,0.1,1624,1212.6
Orissa,1959,28.5,2.4,2.7,22.2,47.1,202.7,357.4,341.6,316.5,170.5,1.5,2.7,1495.9,1218.2
Orissa,1960,5.4,0.8,51.6,12.4,42.7,211.4,444.1,461.7,214.6,130.8,3.6,13.9,1593,1331.8
Orissa,1961,15.9,116.2,3.2,15.9,59.7,324.8,406.2,327.9,483.2,178.2,11.3,2.7,1945.3,1542.1
Orissa,1962,8.3,5.1,19.8,35.9,34.1,192.7,379,263.2,237.3,164,2.5,4.7,1346.5,1072.2
Orissa,1963,0.2,6.9,9.1,47,90,218.7,310.6,361.9,306.9,204.9,3.9,2,1562,1198.1
Orissa,1964,1.7,28.3,11.9,33.2,48.8,142.5,372.4,427.9,195.5,84.1,8.2,0,1354.7,1138.3
Orissa,1965,10.6,17.3,59.1,37.9,37.6,123.1,392.9,187.3,222.9,83.9,1,1,1174.7,926.2
Orissa,1966,49.9,3.6,0.9,28,37.9,306.3,340.2,211,155.9,78.9,63.4,10.9,1286.8,1013.4
Orissa,1967,70.9,0.4,87.7,40.9,25.7,233.3,315.3,340.7,281.8,18.3,1.8,10.7,1427.5,1171
Orissa,1968,33.4,29.7,20.7,26.5,45.7,186.7,311.6,335.4,236.6,191.6,45.5,0.7,1464.1,1070.3
Orissa,1969,0.7,1,4,27.3,80.7,158.6,432.5,293.5,197.7,41.8,38.9,6.4,1283.2,1082.3
Orissa,1970,4.6,27.5,47.2,32.3,60.8,307.9,307.8,348.8,205.9,66.9,2.4,0.2,1412.3,1170.5
Orissa,1971,16.1,23.5,1.9,76.9,82.2,290.8,290.9,411,171.5,229.9,2.1,0,1596.8,1164.2
Orissa,1972,0,22,2.6,25.9,16.3,133.9,333.9,383.4,282.7,83.1,40.9,0.3,1324.9,1133.8
Orissa,1973,1.7,5.7,33.4,8.7,67.5,103.2,434.9,380.9,266.5,244.7,13.3,13,1573.5,1185.4
Orissa,1974,0,1.3,27.4,12.1,44.8,128.9,223.3,306.5,131.7,103,8,0,987,790.4
Orissa,1975,1.8,17.7,21.5,18.2,18.4,193.3,279.5,437,251.7,135.1,17.5,0.3,1392,1161.4
Orissa,1976,0,10.1,10.5,25.9,57.9,108.1,347.8,374.1,172.6,36.8,32.8,2.4,1178.8,1002.5
Orissa,1977,4.9,5,5.4,50.7,124.9,181.4,355.4,335.7,256.6,61.5,87,9.4,1477.9,1129.1
Orissa,1978,4,31,45.3,28.7,37.4,183.5,336.2,462.1,199,80.1,21.8,9.8,1439,1180.8
Orissa,1979,6.7,14.9,3.2,22.7,25.1,198.5,240.2,251.8,171.7,46.5,7.3,7.4,995.9,862.2
Orissa,1980,10.8,9.2,41.7,23.2,59.9,325.5,367.6,228.1,302.1,86.6,3,5.2,1462.9,1223.3
Orissa,1981,25.8,13.6,67.1,45.7,85,189.2,238.3,348.1,257.1,18.8,0.4,6.5,1295.7,1032.7
Orissa,1982,5.5,32.3,80.1,51.8,38.2,191.4,223.2,466.4,129.8,33.8,6.1,0,1258.5,1010.7
Orissa,1983,1.9,55,22.1,47.6,67.6,153,273.1,379.5,324.6,100.7,2,5,1432,1130.1
Orissa,1984,9.3,6.7,3.4,46,34.6,302.6,369.5,422.3,127.3,55.4,0,0.3,1377.6,1221.8
Orissa,1985,24.2,35,4.7,16.4,52.9,195.4,305.7,460.9,335.2,175.8,1.1,0,1607.3,1297.2
Orissa,1986,25.8,35.8,12.6,41.9,74.5,291.7,348.7,301.8,183,134.9,92.2,17,1560,1125.2
Orissa,1987,10.6,3.6,18.4,30.3,55.3,112.3,338.8,190.3,150.2,83.9,102.3,1.7,1097.6,791.6
Orissa,1988,0.1,49.4,23.7,55.1,58.9,247.9,286.1,268.6,252.5,63,1.6,0,1306.9,1055.1
Orissa,1989,0,0.1,12.9,5,81.2,332.5,271.7,369.9,196.1,28.6,0,1.7,1299.7,1170.2
Orissa,1990,0.4,50,89.8,57.3,178.1,237.2,282.9,371.4,260.7,245.6,130.7,1,1905,1152.3
Orissa,1991,20,2.8,21.8,29.6,36.2,149.5,458.5,439,181.5,93.5,32.9,7.3,1472.8,1228.6
Orissa,1992,6.1,16.9,1.7,16.1,66,177.2,394.9,385.1,191.8,63.7,9.9,0,1329.5,1149.1
Orissa,1993,0,1.3,11.4,56.1,82.2,257.5,328.5,327,287.9,88.7,7.5,0,1448,1200.9
Orissa,1994,4.1,28.6,6.2,48.1,46.3,299.4,474,463.9,292.6,69.1,12.3,0.1,1744.6,1529.9
Orissa,1995,50.1,17.6,21.1,23.6,293,112.3,322.6,316.6,202.7,149.7,103.4,1.3,1614,954.3
Orissa,1996,14.6,10.1,11.7,28.1,28.6,211.9,264.8,319.4,113.2,49.9,8.4,0.9,1061.8,909.3
Orissa,1997,17.9,5.3,31.9,77.8,33,197.6,303.4,479.9,234.6,37,27.4,58.8,1504.5,1215.5
Orissa,1998,31.5,28.3,52.4,43.4,53.4,176.4,277.6,203.5,277.3,139.6,73.8,0,1357.1,934.8
Orissa,1999,0.1,0.7,0.9,3.2,164.8,222.9,270.2,325.9,266.4,215.4,13.9,0,1484.3,1085.3
Orissa,2000,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158,26.6,1.6,0.1,1097.2,937.6
Orissa,2001,0.4,1.4,32.3,28.7,71,336.1,584.2,380.9,132,86.8,18.7,0,1672.5,1433.2
Orissa,2002,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0,1102.8,930.2
Orissa,2003,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11,28.8,1648.2,1235.7
Orissa,2004,6.8,8,6.4,49.2,29.7,216.4,328,346.4,148.1,149.6,1.8,0,1290.4,1038.9
Orissa,2005,29.4,4,24.3,20.9,44.9,199.4,410.3,201,342.8,206.9,12.4,7.1,1503.4,1153.5
Orissa,2006,0.2,0,29.9,25,105.6,175.2,454,624.9,254.7,26.4,21,0,1716.9,1508.8
Orissa,2007,0.7,32.5,8,21,62.8,321,285.1,420.6,401.7,66.4,14,0,1633.8,1428.4
Orissa,2008,27.5,10.4,17.5,28.2,37.4,343.5,306.4,388.3,355,22.1,2.7,0,1538.9,1393.2
